board_width,board_height,move_count,verdict,percentage_moves
1000,1000,875908,True,0.025025942857142856
1000,1000,933573,True,0.026673514285714284
1000,1000,1260383,True,0.036010942857142854
1000,1000,1598885,True,0.04568242857142857
1000,1000,278058,True,0.007944514285714285
1000,1000,1461284,True,0.041750971428571426
1000,1000,868279,True,0.02480797142857143
1000,1000,1438666,True,0.041104742857142856
1000,1000,307656,True,0.008790171428571428
1000,1000,638480,True,0.018242285714285714
1000,1000,1695907,True,0.04845448571428571
1000,1000,589374,True,0.016839257142857143
1000,1000,312168,True,0.008919085714285714
1000,1000,393840,True,0.011252571428571428
1000,1000,1530606,True,0.0437316
1000,1000,1238022,True,0.03537205714285714
1000,1000,1774673,True,0.05070494285714286
1000,1000,48717,True,0.0013919142857142857
1000,1000,579147,True,0.016547057142857143
1000,1000,1638037,True,0.04680105714285714
1000,1000,1325517,True,0.037871914285714285
1000,1000,1777709,True,0.05079168571428572
1000,1000,75274,True,0.002150685714285714
1000,1000,664020,True,0.018972
1000,1000,924395,True,0.026411285714285714
1000,1000,1723147,True,0.04923277142857143
1000,1000,1649539,True,0.04712968571428571
1000,1000,450961,True,0.0128846
1000,1000,1039200,True,0.02969142857142857
1000,1000,1391507,True,0.03975734285714286
1000,1000,847461,True,0.024213171428571427
1000,1000,1010762,True,0.028878914285714284
1000,1000,677049,True,0.019344257142857143
1000,1000,1587188,True,0.04534822857142857
1000,1000,1909748,True,0.05456422857142857
1000,1000,1495968,True,0.042741942857142855
1000,1000,1179501,True,0.03370002857142857
1000,1000,1865762,True,0.053307485714285716
1000,1000,615584,True,0.017588114285714284
1000,1000,677895,True,0.01936842857142857
1000,1000,481770,True,0.013764857142857143
1000,1000,1254052,True,0.03583005714285714
1000,1000,1774906,True,0.0507116
1000,1000,974042,True,0.027829771428571428
1000,1000,1591284,True,0.045465257142857145
1000,1000,1131485,True,0.032328142857142854
1000,1000,1459026,True,0.041686457142857146
1000,1000,1816975,True,0.05191357142857143
1000,1000,1755482,True,0.05015662857142857
1000,1000,1299924,True,0.037140685714285714
1000,1000,394359,True,0.0112674
1000,1000,1007588,True,0.02878822857142857
1000,1000,64954,True,0.0018558285714285715
1000,1000,1555113,True,0.0444318
1000,1000,1556378,True,0.04446794285714286
1000,1000,75910,True,0.002168857142857143
1000,1000,103771,True,0.0029648857142857143
1000,1000,1767509,True,0.05050025714285714
1000,1000,334449,True,0.009555685714285713
1000,1000,255992,True,0.0073140571428571425
1000,1000,419830,True,0.011995142857142857
1000,1000,93398,True,0.002668514285714286
1000,1000,452858,True,0.0129388
1000,1000,594439,True,0.01698397142857143
1000,1000,215182,True,0.006148057142857143
1000,1000,1328598,True,0.03795994285714286
1000,1000,1677281,True,0.047922314285714286
1000,1000,726642,True,0.0207612
1000,1000,524648,True,0.014989942857142858
1000,1000,952550,True,0.027215714285714284
1000,1000,1127486,True,0.03221388571428571
1000,1000,113073,True,0.003230657142857143
1000,1000,228704,True,0.0065344
1000,1000,1043238,True,0.0298068
1000,1000,481862,True,0.013767485714285715
1000,1000,1248671,True,0.035676314285714286
1000,1000,1036141,True,0.029604028571428572
1000,1000,1580266,True,0.04515045714285714
1000,1000,570461,True,0.016298885714285713
1000,1000,1220377,True,0.034867914285714285
1000,1000,68266,True,0.0019504571428571428
1000,1000,1800882,True,0.05145377142857143
1000,1000,1313004,True,0.0375144
1000,1000,559695,True,0.015991285714285715
1000,1000,891941,True,0.02548402857142857
1000,1000,1987303,True,0.056780085714285715
1000,1000,250520,True,0.0071577142857142855
1000,1000,1748567,True,0.049959057142857144
1000,1000,1944254,True,0.05555011428571428
1000,1000,882333,True,0.025209514285714284
1000,1000,1393788,True,0.03982251428571429
1000,1000,1796485,True,0.05132814285714286
1000,1000,1960744,True,0.05602125714285714
1000,1000,1936852,True,0.05533862857142857
1000,1000,191156,True,0.0054616
1000,1000,1756752,True,0.050192914285714284
1000,1000,324526,True,0.00927217142857143
1000,1000,799433,True,0.022840942857142856
1000,1000,1378516,True,0.039386171428571426
1000,1000,394013,True,0.011257514285714285
1000,1000,1344723,True,0.03842065714285714
1000,1000,1493171,True,0.04266202857142857
1000,1000,1513464,True,0.043241828571428574
1000,1000,1357217,True,0.03877762857142857
1000,1000,801234,True,0.0228924
1000,1000,667841,True,0.01908117142857143
1000,1000,1478376,True,0.042239314285714286
1000,1000,381914,True,0.010911828571428571
1000,1000,1331213,True,0.03803465714285714
1000,1000,427301,True,0.0122086
1000,1000,526102,True,0.015031485714285715
1000,1000,1760189,True,0.05029111428571428
1000,1000,1641268,True,0.04689337142857143
1000,1000,1455979,True,0.0415994
1000,1000,744556,True,0.02127302857142857
1000,1000,1185306,True,0.03386588571428571
1000,1000,1866218,True,0.053320514285714285
1000,1000,1295881,True,0.03702517142857143
1000,1000,1924314,True,0.0549804
1000,1000,1386945,True,0.039627
1000,1000,687146,True,0.01963274285714286
1000,1000,982423,True,0.028069228571428573
1000,1000,199415,True,0.005697571428571429
1000,1000,583162,True,0.016661771428571427
1000,1000,235455,True,0.006727285714285714
1000,1000,32714,True,0.0009346857142857143
1000,1000,305744,True,0.008735542857142857
1000,1000,1718947,True,0.04911277142857143
1000,1000,1652793,True,0.047222657142857144
1000,1000,553353,True,0.015810085714285715
1000,1000,178669,True,0.005104828571428572
1000,1000,1456045,True,0.041601285714285716
1000,1000,132176,True,0.0037764571428571428
1000,1000,1112754,True,0.03179297142857143
1000,1000,600527,True,0.017157914285714285
1000,1000,618449,True,0.017669971428571428
1000,1000,60644,True,0.0017326857142857142
1000,1000,1230024,True,0.035143542857142857
1000,1000,174004,True,0.004971542857142857
1000,1000,247785,True,0.007079571428571429
1000,1000,1681532,True,0.04804377142857143
1000,1000,1328569,True,0.03795911428571429
1000,1000,1602099,True,0.04577425714285714
1000,1000,1931877,True,0.05519648571428572
1000,1000,1071423,True,0.030612085714285715
1000,1000,1134351,True,0.03241002857142857
1000,1000,1972448,True,0.056355657142857146
1000,1000,1612800,True,0.04608
1000,1000,977269,True,0.02792197142857143
1000,1000,278189,True,0.007948257142857143
1000,1000,174157,True,0.004975914285714286
1000,1000,693984,True,0.019828114285714286
1000,1000,1878057,True,0.05365877142857143
1000,1000,1233044,True,0.03522982857142857
1000,1000,591676,True,0.01690502857142857
1000,1000,288964,True,0.008256114285714286
1000,1000,1001950,True,0.028627142857142858
1000,1000,626660,True,0.01790457142857143
1000,1000,988140,True,0.02823257142857143
1000,1000,147138,True,0.004203942857142857
1000,1000,55940,True,0.0015982857142857142
1000,1000,415873,True,0.011882085714285714
1000,1000,1039772,True,0.02970777142857143
1000,1000,238352,True,0.006810057142857143
1000,1000,771250,True,0.022035714285714287
1000,1000,1011128,True,0.02888937142857143
1000,1000,506134,True,0.014460971428571428
1000,1000,1920633,True,0.05487522857142857
1000,1000,1798174,True,0.0513764
1000,1000,1928901,True,0.055111457142857145
1000,1000,1913270,True,0.05466485714285714
1000,1000,1831257,True,0.05232162857142857
1000,1000,832061,True,0.023773171428571428
1000,1000,208646,True,0.005961314285714286
1000,1000,466945,True,0.013341285714285714
1000,1000,237754,True,0.006792971428571428
1000,1000,670862,True,0.019167485714285715
1000,1000,1341870,True,0.038339142857142856
1000,1000,1587275,True,0.045350714285714286
1000,1000,1963765,True,0.05610757142857143
1000,1000,34219,True,0.0009776857142857142
1000,1000,1348504,True,0.038528685714285714
1000,1000,1427870,True,0.040796285714285715
1000,1000,486246,True,0.013892742857142856
1000,1000,1988854,True,0.0568244
1000,1000,902825,True,0.025795
1000,1000,1605383,True,0.04586808571428572
1000,1000,1374658,True,0.03927594285714286
1000,1000,1674913,True,0.047854657142857145
1000,1000,1813239,True,0.05180682857142857
1000,1000,1431558,True,0.040901657142857144
1000,1000,456588,True,0.013045371428571428
1000,1000,801597,True,0.022902771428571427
1000,1000,1752677,True,0.05007648571428571
1000,1000,415584,True,0.01187382857142857
1000,1000,1718851,True,0.04911002857142857
1000,1000,645192,True,0.018434057142857143
1000,1000,155636,True,0.004446742857142857
1000,1000,504189,True,0.0144054
1000,1000,703693,True,0.020105514285714287
1000,1000,336321,True,0.009609171428571428
1000,1000,398041,True,0.0113726
1000,1000,1335633,True,0.03816094285714286
1000,1000,410018,True,0.0117148
1000,1000,304332,True,0.0086952
1000,1000,217547,True,0.006215628571428571
1000,1000,627656,True,0.01793302857142857
1000,1000,853109,True,0.024374542857142856
1000,1000,199832,True,0.005709485714285714
1000,1000,438035,True,0.012515285714285715
1000,1000,1782896,True,0.05093988571428571
1000,1000,320267,True,0.009150485714285714
1000,1000,607496,True,0.01735702857142857
1000,1000,257722,True,0.007363485714285714
1000,1000,236924,True,0.006769257142857143
1000,1000,1466133,True,0.04188951428571429
1000,1000,1652892,True,0.04722548571428571
1000,1000,1083638,True,0.030961085714285713
1000,1000,520063,True,0.014858942857142857
1000,1000,824167,True,0.023547628571428572
1000,1000,1507311,True,0.04306602857142857
1000,1000,36964,True,0.0010561142857142857
1000,1000,1696015,True,0.048457571428571426
1000,1000,415894,True,0.011882685714285714
1000,1000,1151934,True,0.0329124
1000,1000,1510897,True,0.04316848571428571
1000,1000,508192,True,0.014519771428571429
1000,1000,552896,True,0.015797028571428572
1000,1000,1688448,True,0.048241371428571427
1000,1000,916671,True,0.0261906
1000,1000,1280144,True,0.03657554285714286
1000,1000,400036,True,0.0114296
1000,1000,474217,True,0.013549057142857143
1000,1000,540548,True,0.015444228571428572
1000,1000,636346,True,0.018181314285714286
1000,1000,1924601,True,0.0549886
1000,1000,21227,True,0.0006064857142857143
1000,1000,1855457,True,0.053013057142857145
1000,1000,1464642,True,0.041846914285714285
1000,1000,1461208,True,0.0417488
1000,1000,698611,True,0.019960314285714285
1000,1000,497988,True,0.014228228571428572
1000,1000,1107815,True,0.03165185714285714
1000,1000,1315378,True,0.03758222857142857
1000,1000,1338951,True,0.03825574285714286
1000,1000,1503603,True,0.042960085714285716
1000,1000,530758,True,0.015164514285714286
1000,1000,1755607,True,0.0501602
1000,1000,478044,True,0.0136584
1000,1000,1972636,True,0.05636102857142857
1000,1000,388683,True,0.011105228571428571
1000,1000,208488,True,0.0059568
1000,1000,1781712,True,0.05090605714285714
1000,1000,1316225,True,0.03760642857142857
1000,1000,1545783,True,0.04416522857142857
1000,1000,1267429,True,0.03621225714285714
1000,1000,1357823,True,0.038794942857142856
1000,1000,1414228,True,0.04040651428571428
1000,1000,1531059,True,0.043744542857142854
1000,1000,1696863,True,0.0484818
1000,1000,1751458,True,0.050041657142857146
1000,1000,814311,True,0.023266028571428572
1000,1000,972064,True,0.027773257142857142
1000,1000,773374,True,0.0220964
1000,1000,1496574,True,0.042759257142857145
1000,1000,441336,True,0.0126096
1000,1000,1175877,True,0.033596485714285716
1000,1000,910877,True,0.026025057142857144
1000,1000,528155,True,0.015090142857142858
1000,1000,349282,True,0.009979485714285714
1000,1000,672292,True,0.019208342857142856
1000,1000,345850,True,0.009881428571428572
1000,1000,1172826,True,0.033509314285714284
1000,1000,93101,True,0.0026600285714285716
1000,1000,1560005,True,0.044571571428571426
1000,1000,886534,True,0.025329542857142857
1000,1000,591813,True,0.016908942857142856
1000,1000,1094787,True,0.031279628571428575
1000,1000,1870871,True,0.053453457142857146
1000,1000,1229886,True,0.0351396
1000,1000,1516710,True,0.04333457142857143
1000,1000,410198,True,0.011719942857142857
1000,1000,1468612,True,0.041960342857142854
1000,1000,991292,True,0.02832262857142857
1000,1000,188371,True,0.005382028571428572
1000,1000,1601699,True,0.04576282857142857
1000,1000,1071498,True,0.03061422857142857
1000,1000,898470,True,0.025670571428571428
1000,1000,1959542,True,0.055986914285714284
1000,1000,1869592,True,0.05341691428571429
1000,1000,1677214,True,0.0479204
1000,1000,593621,True,0.0169606
1000,1000,1838497,True,0.052528485714285714
1000,1000,1430906,True,0.04088302857142857
1000,1000,1839169,True,0.05254768571428572
1000,1000,1968484,True,0.0562424
1000,1000,853025,True,0.024372142857142856
1000,1000,244877,True,0.006996485714285714
1000,1000,1318011,True,0.03765745714285714
1000,1000,1414345,True,0.04040985714285714
1000,1000,1631464,True,0.04661325714285714
1000,1000,834579,True,0.023845114285714286
1000,1000,1673602,True,0.0478172
1000,1000,1901172,True,0.0543192
1000,1000,1660502,True,0.04744291428571429
1000,1000,649704,True,0.01856297142857143
1000,1000,722732,True,0.020649485714285713
1000,1000,1851665,True,0.052904714285714284
1000,1000,724851,True,0.020710028571428573
1000,1000,460785,True,0.013165285714285714
1000,1000,863377,True,0.024667914285714285
1000,1000,892909,True,0.025511685714285713
1000,1000,1869291,True,0.053408314285714284
1000,1000,1843183,True,0.05266237142857143
1000,1000,1025430,True,0.029298
1000,1000,576674,True,0.0164764
1000,1000,1271016,True,0.036314742857142854
1000,1000,1266509,True,0.036185971428571426
1000,1000,23807,True,0.0006802
1000,1000,1431234,True,0.0408924
1000,1000,39797,True,0.001137057142857143
1000,1000,1270456,True,0.03629874285714286
1000,1000,257548,True,0.007358514285714286
1000,1000,1733417,True,0.0495262
1000,1000,308984,True,0.008828114285714285
1000,1000,1172909,True,0.03351168571428571
1000,1000,1031417,True,0.029469057142857143
1000,1000,351459,True,0.010041685714285714
1000,1000,468925,True,0.013397857142857144
1000,1000,1469369,True,0.04198197142857143
1000,1000,650255,True,0.018578714285714285
1000,1000,193707,True,0.005534485714285714
1000,1000,1995823,True,0.05702351428571428
1000,1000,1195503,True,0.03415722857142857
1000,1000,1936258,True,0.055321657142857146
